"gene","module"
"KLF10","Late"
"PIM1","Late"
"BHLHE40","Late"
"ARID5A","Late"
"ARID5B","Late"
"EGR2","Late"
"SLC22A5","Late"
"THBS2","Late"
"C7","Late"
"NABP1","Late"
"FSTL1","Late"
"CPXM1","Late"
"HSPH1","Late"
"FBN1","Late"
"AMPD3","Late"
"COL6A3","Late"
"SSC5D","Late"
"OLFML2B","Late"
"MT1A","Late"
"CCN4","Late"
"PRSS23","Late"
"LMCD1","Late"
"PRELP","Late"
"MRC2","Late"
"GFPT2","Late"
"PNP","Late"
"FBLN1","Late"
"MT1E","Late"
"CH25H","Late"
"GPNMB","Late"
"GEM","Late"
"IGF2","Late"
"PCOLCE","Late"
"ETS2","Late"
"MT1X","Late"
"MFAP5","Late"
"MYH11","Late"
"ABI3BP","Late"
"CILP","Late"
"EPB41L4B","Late"
"DUSP1","Late"
"TMEM119","Late"
