gene,log2FC,p_value,FDR,baseMean,lfcSE,stat
FCRLB,1.6190500088854771,2.2567025151923627e-07,6.203848806764972e-05,7.072052499307534,0.3115210521288208,5.1768444183158655
TMPRSS11E,2.020529711624219,2.2947747773437875e-07,6.247974593596978e-05,7.999119597281829,0.3882311073982383,5.1737209418932
BOD1L2,2.0361248716415794,2.309644922686669e-07,6.247974593596978e-05,4.152612521570186,0.3887291956998295,5.172514562889225
NTRK1,1.251066932907452,2.338019695729406e-07,6.247974593596978e-05,16.144353100427068,0.2417917840628603,5.170233264671357
CERNA1,1.833550544128824,2.3574384874641525e-07,6.247974593596978e-05,5.6263856222915365,0.3523024693131075,5.16868738300786
SCIN,1.3350462446498632,2.36016724532876e-07,6.247974593596978e-05,29.834707530073693,0.2581713973152597,5.1684711399089895
RAD51,1.0961013269415054,2.381607779311766e-07,6.258374913017932e-05,13.439996744991925,0.2120055283854315,5.166780420735766
AC062004.1,1.6651093523263318,2.399599627337706e-07,6.259627115459485e-05,10.039510358110356,0.3214865649455504,5.165372960910935
AL136441.1,1.311373143116394,2.490377805436652e-07,6.36179797746578e-05,19.012956183007017,0.2540449911758759,5.158423530000652
LRAT,1.8237436664619724,2.506072109436583e-07,6.36179797746578e-05,15.289982306427948,0.352890527173057,5.157246935542933
LINC02208,1.633567719037284,2.513802250012184e-07,6.36179797746578e-05,26.3829956322524,0.3165086439802489,5.156670024515386
SPDYE1,2.115198573686539,2.526795557675285e-07,6.36179797746578e-05,5.078532914298378,0.4058018927632459,5.155704166252947
CAMK4,1.3096532771532845,2.527772434943592e-07,6.36179797746578e-05,40.22636543584025,0.2539360140484369,5.155631744062436
AC021979.3,1.9957152080317493,2.6010322516104786e-07,6.500397944619251e-05,5.321267767232534,0.3842184133819074,5.15027613428593
TMEM232,0.9266066611569128,2.61928688381516e-07,6.500560739846261e-05,53.96501727949138,0.1799408547124207,5.148964325424422
CCDC158,1.2814325857331248,2.670891086126047e-07,6.568217074149107e-05,26.538843578899208,0.2489270447643246,5.145303174735835
KIF15,1.3062817936897424,2.6862668651301534e-07,6.568217074149107e-05,25.625973021689106,0.2537991865114225,5.144225519027882
FCRL1,1.589894290300289,2.701918889092491e-07,6.568217074149107e-05,12.677189294687446,0.3085292237602124,5.143134603844414
TLR10,1.427515517265753,2.73988035355122e-07,6.568217074149107e-05,8.798160866063874,0.2771012155748527,5.140513912057092
TBX5,1.4556143149306773,2.74609268263472e-07,6.568217074149107e-05,14.503511397841528,0.2828294103574972,5.140088382414744
BCL11A,1.3960240398521135,2.75682064223618e-07,6.568217074149107e-05,57.90756519494953,0.2715604425172438,5.139355727216753
SCN1A-AS1,1.4032997552090956,2.828580070083659e-07,6.669312699258682e-05,53.65623014908214,0.2732252857098443,5.134524659358124
KIF2C,1.2959275029347377,2.8365759983415965e-07,6.669312699258682e-05,15.132766334851352,0.2521885586342503,5.133993696654601
LINC00567,1.8952559305751415,2.9241008686071285e-07,6.682536017031283e-05,4.152553751376191,0.3655633143898528,5.128274362569211
CSMD3,1.5551583390134238,2.933141291866147e-07,6.682536017031283e-05,55.62022840299564,0.3031604195137433,5.127693063659275
AC093752.3,2.0640205715718545,2.938236130145111e-07,6.682536017031283e-05,2.303229025978636,0.3912534799922047,5.127366227525168
NOTO,2.333018069941424,2.9396385943397425e-07,6.682536017031283e-05,4.136616603210883,0.4470449624845282,5.127276354880209
GLP2R,1.4924952534344356,2.966377678493845e-07,6.682536017031283e-05,16.364067936644854,0.2908447987905901,5.12557073580033
LINC01361,1.992561214431386,2.9793384032107777e-07,6.682536017031283e-05,9.423404747185552,0.38701360852628,5.124749338772475
PALM3,1.9626262939403876,2.982043736268911e-07,6.682536017031283e-05,8.576809263482634,0.3812801451703952,5.124578321310702
C10orf90,1.3788078335253833,2.991789587344018e-07,6.682536017031283e-05,16.24163927989794,0.2688211595995187,5.123963477437054
DCDC2,1.63527898944896,3.032804590463335e-07,6.732072699004886e-05,18.098124920139117,0.3188682321981955,5.121396952050243
PLA2G2F,2.0804201738162686,3.098028533873317e-07,6.830691290227638e-05,5.577548457520905,0.4027629538935974,5.117383770810319
CHEK1,0.9481469097871466,3.115458840190008e-07,6.830691290227638e-05,23.72145583700386,0.1852677375749005,5.116325110086088
AL132799.1,2.185103011043601,3.184424866930126e-07,6.916351841569964e-05,3.622357144925434,0.4199429248151431,5.112191664927553
AL118505.1,2.008589334005824,3.247633325619283e-07,6.916351841569964e-05,3.3595152065352547,0.3869463404695899,5.108478510519955
PRR23A,2.080727251037681,3.25506459484324e-07,6.916351841569964e-05,3.236547106549044,0.3999774436600942,5.108046555912207
TFAP2C,1.6489012893766126,3.255580707569897e-07,6.916351841569964e-05,9.661107558026329,0.3220105599235059,5.108016591387158
AC074096.1,2.0084765492012577,3.255758302890268e-07,6.916351841569964e-05,3.719910157303289,0.3877462484436529,5.108006281600551
AUXG01000058.1,1.1274671088563322,3.270645982498528e-07,6.916351841569964e-05,53.26033467760042,0.2207283859433244,5.107143944751323
IL19,1.9240972664909124,3.336119090145668e-07,7.013307296683875e-05,11.917294636467055,0.3759139461522501,5.10339598647941
COL26A1,2.046588867265989,3.3819993033802e-07,7.068180766327577e-05,3.776301033412623,0.3956258839656403,5.100811687052374
SLC7A3,2.065144284049928,3.470745055607424e-07,7.173883513512923e-05,6.04897289353891,0.4019755604954498,5.095907538010245
AC100805.1,1.7951307556014993,3.520578379614749e-07,7.173883513512923e-05,7.927615255083291,0.3510180072924807,5.093206522813473
SLC46A2,1.8880304047434888,3.539386014304043e-07,7.173883513512923e-05,4.6962337583351,0.3676656910188677,5.092196712592079
CENPE,1.3067028426672864,3.5445324813108786e-07,7.173883513512923e-05,45.004014146502186,0.2565390616045385,5.091921293527661
ATG9B,1.6045941381327358,3.546055151199518e-07,7.173883513512923e-05,9.44843728913544,0.3143128416234419,5.091839880099164
LINC01977,2.0986793102981207,3.5530174656997804e-07,7.173883513512923e-05,4.558867128274036,0.4075447121738364,5.09146805155206
PAGE5,2.445562597307187,3.587125656642223e-07,7.193550416574975e-05,3.1031210603959103,0.4663764962494717,5.089656575180904
LINC01798,1.504556092231929,3.603015066783034e-07,7.193550416574975e-05,14.325972680175726,0.2952650280830032,5.088818362288237
LINC00426,1.3767948963874976,3.651150500884535e-07,7.249156477811751e-05,16.336786759718937,0.2704170087017092,5.086300680248999
CFHR5,1.8542365539444257,3.677362701853738e-07,7.254683276608659e-05,7.812985470541386,0.3629238555568408,5.084943113665814
LINC01748,1.1909313718813874,3.69453342756387e-07,7.254683276608659e-05,50.161235278614726,0.2341979983031364,5.084058871222401
CDC42BPG,1.4925172360900074,3.749362257932344e-07,7.265819906427081e-05,12.530999351568514,0.2933149397182696,5.081261664105628
LINC01182,1.655557671044093,3.750474201810721e-07,7.265819906427081e-05,19.152755905230578,0.3253986152552964,5.081205345347144
HMHB1,2.298853520484069,3.761197276537607e-07,7.265819906427081e-05,3.5412244678164853,0.44264958640337,5.08066305866513
AL353801.1,2.4444819093636743,3.896633618530092e-07,7.486983454786474e-05,1.5413782007865433,0.4813304442421816,5.073939319404278
PRR26,1.2291618854823718,3.9721418144083467e-07,7.542039607214029e-05,29.8163844294852,0.2423388778920362,5.070287988869248
ARHGEF38,1.7701578086126468,4.0041237213676363e-07,7.542039607214029e-05,17.823479758559106,0.3486235975450981,5.068761600409919
LINC00601,2.034319969894819,4.004689536084093e-07,7.542039607214029e-05,3.6736176815266703,0.3954492366616962,5.068734702024057
CNTN2,1.7283498392419625,4.022776861517741e-07,7.542039607214029e-05,19.806494714781,0.340574131271816,5.067876771446103
CHD5,1.7403009313540363,4.030806326537242e-07,7.542039607214029e-05,16.935439332439948,0.3428535174500359,5.067497104585225
AC020928.1,1.9087255645223915,4.063414943742998e-07,7.563454336431627e-05,4.988596764079445,0.3735486026844461,5.065962694796723
SCN8A,1.2383789584696627,4.0955125440869653e-07,7.583700896403107e-05,57.72552471371551,0.2444768828917712,5.064463890707785
LINC00887,1.7767695754155888,4.134082605243999e-07,7.615172929287153e-05,7.34968062667708,0.3493457294549758,5.062677774453093
PLA2G1B,2.4080483647152744,4.1551254161144857e-07,7.615172929287153e-05,2.0241172496921664,0.4561568365966997,5.061710083587271
AC103855.3,2.580896717182492,4.2251908869764034e-07,7.696710945856519e-05,1.5867647288446445,0.5095875148189596,5.058521738820065
CASP14,2.0654475286247767,4.276262904495266e-07,7.696710945856519e-05,5.108243048022908,0.4046059188087172,5.056229677406619
CLSPN,1.6626184378039328,4.284668392932858e-07,7.696710945856519e-05,30.159958518097604,0.3285855430584598,5.055854980394875
PTH2R,1.5508438949790426,4.318409410381312e-07,7.696710945856519e-05,18.02118472814641,0.3064616317227849,5.054357987404524
PAX6,1.7587732499996442,4.328013997541602e-07,7.696710945856519e-05,35.49468965747713,0.3477340719499021,5.053933922179301
