gene,spearman_rho,pvalue,padj
IQCA1L,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCB1,-0.39999999999999997,0.6,0.6497629043462503
IQCC,0.6000000000000001,0.3999999999999999,0.5121777015927432
IQCD,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCE,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCF1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCF2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCF3,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCF5,0.6000000000000001,0.3999999999999999,0.5121777015927432
IQCF6,0.39999999999999997,0.6,0.6497629043462503
IQCG,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCH,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCJ,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCJ-SCHIP1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQCK,0.6000000000000001,0.3999999999999999,0.5121777015927432
IQCM,0.0,1.0,1.0
IQCN,0.6000000000000001,0.3999999999999999,0.5121777015927432
IQGAP1,1.0,0.0,0.0
IQGAP2,1.0,0.0,0.0
IQGAP3,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQSEC1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IQSEC2,-0.19999999999999998,0.8,0.8188409934341992
IQSEC3,0.7999999999999999,0.20000000000000007,0.29498148909913624
IQUB,0.39999999999999997,0.6,0.6497629043462503
IRAG1,1.0,0.0,0.0
IRAG2,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRAK1,0.39999999999999997,0.6,0.6497629043462503
IRAK1BP1,0.0,1.0,1.0
IRAK2,0.0,1.0,1.0
IRAK3,1.0,0.0,0.0
IRAK4,1.0,0.0,0.0
IREB2,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IRF1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRF2,-1.0,0.0,0.0
IRF2BP1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IRF2BP2,-1.0,0.0,0.0
IRF2BPL,-0.39999999999999997,0.6,0.6497629043462503
IRF3,1.0,0.0,0.0
IRF4,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRF5,1.0,0.0,0.0
IRF6,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRF7,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRF8,1.0,0.0,0.0
IRF9,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRGC,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRGM,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRGQ,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IRS1,-1.0,0.0,0.0
IRS2,-0.19999999999999998,0.8,0.8188409934341992
IRS4,0.39999999999999997,0.6,0.6497629043462503
IRX1,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRX2,-0.7999999999999999,0.20000000000000007,0.29498148909913624
IRX3,-0.19999999999999998,0.8,0.8188409934341992
IRX4,0.7999999999999999,0.20000000000000007,0.29498148909913624
IRX5,-1.0,0.0,0.0
IRX6,0.39999999999999997,0.6,0.6497629043462503
ISCA1,-0.7999999999999999,0.20000000000000007,0.29498148909913624
ISCA2,-1.0,0.0,0.0
ISCU,-1.0,0.0,0.0
ISG15,0.7999999999999999,0.20000000000000007,0.29498148909913624
ISG20,0.7999999999999999,0.20000000000000007,0.29498148909913624
ISG20L2,0.7999999999999999,0.20000000000000007,0.29498148909913624
