cluster,TF,overlap,odds_ratio,pvalue,padj
0,SOX6,4.0,0.8965377933987799,0.7264867648792672,
0,SOX9,22.0,1.6442557779125395,0.18945836871638896,
0,SP1,172.0,0.9173266703468046,0.7636181637441481,
0,SP2,5.0,0.7470776772247361,0.7882825332333764,
0,SP3,51.0,0.9524912976604873,0.6313242897393508,
0,SP4,3.0,0.26887775713016077,0.9866824191785567,
0,SP7,11.0,1.2328659177240766,0.48293341315051785,
0,SPDEF,5.0,2.241637039431157,0.3998149166804603,
0,SPI1,26.0,1.4573814241235696,0.22972367774120772,
0,SREBF1,19.0,0.5674859190988223,0.9644920620526894,
0,SREBF2,7.0,0.7844242424242425,0.7682935087585698,
0,SRF,14.0,1.569292325102049,0.3013951245256915,
0,SRY,4.0,0.8965377933987799,0.7264867648792672,
0,STAT1,22.0,1.095874042629652,0.4952599004191103,
0,STAT2,8.0,1.195469177205813,0.541623033146557,
0,STAT3,53.0,1.1316482389587958,0.3672504587207074,
0,STAT4,6.0,inf,0.10834485239407438,
0,STAT5A,14.0,0.6273774400840642,0.9098049737004662,
0,STAT5B,4.0,0.44818809841231366,0.9343220101369897,
0,STAT6,11.0,1.6439693957272556,0.32664836053951174,
0,TAL1,7.0,1.045993265993266,0.6240486606418343,
0,TBP,4.0,0.5976379967411357,0.861302271685183,
0,TBX1,7.0,3.1385454545454547,0.23691087402371575,
0,TBX2,8.0,3.5870540223847427,0.17955914260724068,
0,TBX21,8.0,3.5870540223847427,0.17955914260724068,
0,TBX3,9.0,4.035598836269598,0.13501059404875485,
0,TCF12,4.0,0.8965377933987799,0.7264867648792672,
0,TCF21,,,,
0,TCF3,26.0,1.059627041512125,0.5158491681801999,
0,TCF4,17.0,3.812287793047696,0.03851840948571664,
0,TCF7L2,7.0,0.6274828282828283,0.8665123224795703,
0,TFAP2A,5.0,0.44816580478345186,0.9453032948311962,
0,TFAP2C,8.0,1.7933653885005454,0.35775333684118343,
0,TFAP4,4.0,0.5976379967411357,0.861302271685183,
0,TFCP2,8.0,3.5870540223847427,0.17955914260724068,
0,TFDP1,7.0,1.045993265993266,0.6240486606418343,
0,TP53,113.0,1.0131666937185522,0.5074919877491006,
0,TP63,9.0,0.8068288346533053,0.7559286727984227,
0,TP73,9.0,1.0086269597543236,0.6254716308148001,
0,TRERF1,6.0,2.69007312835845,0.3095908294427123,
0,TRP53,95.0,0.7595476557340964,0.9557264791817208,
0,TRP63,7.0,1.045993265993266,0.6240486606418343,
0,TRP73,9.0,0.4480766122514951,0.9738990226238362,
0,TWIST1,18.0,0.8964792433000526,0.6898722033442048,
0,TWIST2,5.0,2.241637039431157,0.3998149166804603,
0,USF1,12.0,1.0759022024651446,0.5627239455605284,
0,USF2,9.0,1.3449571682560206,0.46336594309805057,
0,VDR,5.0,1.1207175177763413,0.6253751347748302,
0,VHL,13.0,0.8324269086878204,0.7424396850115218,
0,WT1,14.0,2.092578372334263,0.17908707308215593,
0,WWTR1,2.0,0.22407594425368613,0.9873571881339824,
0,XBP1,9.0,1.0086269597543236,0.6254716308148001,
0,YBX1,3.0,0.44821039023996123,0.9217279826010608,
0,YY1,15.0,0.746975453345189,0.8211820743789535,
0,ZBTB16,9.0,4.035598836269598,0.13501059404875485,
0,ZBTB33,2.0,0.298794856257995,0.9654807862896752,
0,ZBTB7A,3.0,0.44821039023996123,0.9217279826010608,
0,ZEB1,8.0,0.7171522081700271,0.8144021451296009,
