gene,log2FC,p_value,FDR
AC004817.5,2.2905532657357077,3.9484248494597504e-08,8.476249494899588e-06
GHRHR,2.497253326195724,3.8277977799112935e-08,8.476249494899588e-06
PPP2R2B,1.7545298061879657,3.939998875384899e-08,8.476249494899588e-06
KAZN-AS1,2.902230103659113,4.195557038600872e-08,8.476249494899588e-06
LAMA4-AS1,2.5001834430416605,3.940730862647178e-08,8.476249494899588e-06
LINC00920,1.615515420759186,4.0535360812558634e-08,8.476249494899588e-06
AL592429.2,1.9907353350617505,3.924697518522171e-08,8.476249494899588e-06
LINC02412,2.1571773247886843,3.796380635924746e-08,8.476249494899588e-06
AC008543.1,1.9686616720087116,3.884747908150562e-08,8.476249494899588e-06
FLJ31356,2.2958496112942504,3.975017120907336e-08,8.476249494899588e-06
LINC01622,2.426242110266569,3.689102816011346e-08,8.476249494899588e-06
AC008957.1,1.726535688658987,4.016740464813167e-08,8.476249494899588e-06
LINC01553,2.51956586640152,4.1622011357528975e-08,8.476249494899588e-06
ST18,2.5586530345456926,4.150117858156604e-08,8.476249494899588e-06
AL359378.1,2.7879516412146597,3.8569496360282253e-08,8.476249494899588e-06
AC105285.1,1.1731583073874994,4.2414236324972926e-08,8.476249494899588e-06
AC105450.1,2.3662389390574257,4.1255737656620134e-08,8.476249494899588e-06
KCNQ3,1.8305707761191112,4.161798211336717e-08,8.476249494899588e-06
AC117453.1,2.299723834873974,3.950058245709176e-08,8.476249494899588e-06
