sample_id,Alkaliptosis,Anoikis,Apoptosis,Autophagy,Cuproptosis,Disulfidptosis,Entosis,Ferroptosis,Lysosome_dependent_cell_death,Necroptosis,NETosis,Oxeiptosis,Parthanatos,Pyroptosis,adjusted_two_block_K4,geo_accession,title,subgroup
AB_21,0.4953376619090476,0.9381270064371391,-1.116170454719466,0.7400029321731955,0.06292810014808775,-0.8094117378852828,-1.154288397571767,-1.465099343166562,0.2733953999328863,0.3856504499216191,-0.4445021012305967,-0.31252799486234145,0.7170751366445117,-0.8109720299970923,C3,GSM8059507,"AB_21, Pancreas",Pancreas
AB_22,1.3696033218382706,1.188217960181983,1.753870812442062,-1.527393377921964,-0.7973962212556762,1.3438047345587303,2.3179160939588788,0.36915544185876187,2.546712432271891,0.5178439762017831,1.794199692943841,-0.9762178539513581,-0.5544263225257765,1.1866269242460485,C1,GSM8059508,"AB_22, Colorectal",Colorectal
AB_23,-1.064835976296478,-0.7102091025189149,-2.2130529188362953,2.071727915789241,-1.0340423739440538,-1.1173922526601205,0.6104664919320286,-2.242814678429906,-0.5816122335682596,-1.493179142087843,-1.478257849267953,-0.5192978551487486,-0.8503736682419504,-0.03727877314774958,C4,GSM8059509,"AB_23, Pancreas",Pancreas
AB_24,-0.8421125165974123,0.643820535103833,-1.5266188566988848,0.3938367866089029,-0.5066749295186475,0.5672180089681848,1.7711236343205539,-1.3518251449252057,-1.4043886587442878,-1.1502745816921138,-1.1860728650630927,-0.8878972694258105,-1.0195929085086268,0.30405384255461504,C4,GSM8059510,"AB_24, Pancreas",Pancreas
AB_25,-0.38742889796652524,-0.08674133156704811,0.4597034841197198,0.7043493950521407,0.6272919991512493,-0.6290947119324254,-0.6927094766404689,0.11879566820318996,-0.03655568057002165,0.5365517304222054,1.7550383379894008,0.3772201530771237,0.5741244748743675,-0.256301714472352,C4,GSM8059511,"AB_25, Colorectal",Colorectal
AB_26,0.2187310229156257,-1.809425144227485,-0.4222525027480475,0.026063931331669104,0.6977400671559042,-0.29819391062825834,-0.34495483171634084,-1.5265285734901806,-0.307668910846504,-0.5171012130214184,0.1528152572175798,1.1702574984551777,1.1657053044851962,-0.5577592552167325,C4,GSM8059512,"AB_26, Pancreas",Pancreas
AB_27,-0.23867741911585072,-0.47022273140290793,-0.17667526660975438,-1.1526125695171678,-0.7296827057222192,0.700658805061278,0.47461052231541817,0.43365131520169053,-0.2392679488823331,-0.3933214223853475,0.4174294627703943,-0.46958629956639897,1.2673529882234755,0.3024308563699841,C3,GSM8059513,"AB_27, Colorectal",Colorectal
AB_28,-0.4872463071681721,0.22553111171567022,-1.0416506129041,0.6176294853543292,0.2737447064482606,-1.391927308040996,0.2870846509334421,1.071687601936017,-0.17005496656034697,-1.7414627369628786,-0.9391001188660365,-0.3086580668754572,0.18150212422144849,-0.6375672212469492,C3,GSM8059514,"AB_28, Pancreas",Pancreas
AB_29,2.0825726143917143,-0.4502420450418916,-0.5225792629515738,-0.7141597587217131,-0.9550354654381609,0.16866877466044247,0.8082280113287038,1.824519451619988,-1.8070706438453676,-0.3550050305667089,-0.8645683712444727,-1.1351516980685723,-1.1534655636247901,0.4855786719938196,C3,GSM8059515,"AB_29, Colorectal",Colorectal
AB_30,-0.8292746994965609,-1.1215084991254778,-0.540997699376481,-0.684583312399328,1.1032616197975114,-0.21096646910083722,0.0387167112021889,-0.27549410174118544,-0.39482345627779136,0.4004630743094948,1.398532246354395,0.5638754626038572,-0.2539534068870295,0.41628486001749804,C3,GSM8059516,"AB_30, Colorectal",Colorectal
